,Actor,Louvain,K-mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,Konstantin Dmitrievitch Levin,0,1,0.18228831887245178,0.07846248894929886,-0.09763620048761368,0.07082156836986542,-0.34545135498046875,0.05375852808356285,0.21857516467571259,0.08881933987140656,0.15705713629722595,-0.15343062579631805,0.10404450446367264,-0.028380978852510452,0.03256809338927269,0.052776165306568146,0.17613312602043152,0.03887220844626427,0.03974389284849167,-0.020333632826805115,-0.21072222292423248,0.3049784302711487,-0.1572490632534027,0.03811684623360634,0.002540447749197483,0.04506969451904297,0.18993709981441498,0.2968548834323883,0.038756828755140305,0.10586822032928467,0.22593942284584045,-0.21426504850387573,-0.03381219133734703,-0.05129455029964447,-0.33626261353492737,0.0010963999666273594,-0.10176284611225128,0.042263213545084,0.010931789875030518,-0.33535221219062805,0.1894533485174179,0.1305096298456192,0.05766734853386879,0.0035387498792260885,0.029738733544945717,-0.2900882661342621,0.012735186144709587,-0.1008177250623703,-0.006900215521454811,0.01577981561422348,-0.29563000798225403,0.009066184982657433,0.1841716468334198,-0.08655107766389847,0.24753886461257935,-0.05387033149600029,0.1375751942396164,-0.05763630568981171,-0.13813365995883942,-0.16283468902111053,0.20205357670783997,-0.08433575928211212,-0.07025103271007538,-0.04732290655374527,-0.14361445605754852,0.0664932131767273,-0.14658574759960175,-0.18923750519752502,0.19484619796276093,0.012134505435824394,-0.04203258454799652,-0.18319208920001984,-0.01805625483393669,0.0961574837565422,-0.24045920372009277,-0.13439929485321045,-0.07085535675287247,0.3553834855556488,-0.06930998712778091,0.06855335831642151,0.09062112867832184,-0.2749771475791931,-0.1223745122551918,0.018731996417045593,0.042332060635089874,-0.07022333890199661,0.09126058965921402,0.011458459310233593,-0.14764532446861267,0.12271738052368164,-0.15128809213638306,-0.1421600878238678,-0.2950361967086792,0.043523967266082764,-0.12559033930301666,0.08545386791229248,0.03548125550150871,-0.1850050985813141,0.034095920622348785,-0.1366499662399292,0.08087646216154099,-0.17961473762989044,0.07026161998510361,0.1620946228504181,-0.1374748796224594,0.109331876039505,-0.08679111301898956,-0.18866683542728424,0.20854447782039642,0.146659255027771,0.11681404709815979,-0.04507792368531227,-0.11064965277910233,-0.026894278824329376,0.04650518670678139,-0.15702858567237854,0.06422305107116699,-0.08879903703927994,-0.021097799763083458,-0.05416031926870346,-0.09305299818515778,-0.12286802381277084,0.02932659722864628,-0.08605275303125381,0.13564229011535645,0.020979976281523705,0.07420916110277176,0.029136667028069496,-0.11130011081695557,-0.20927150547504425
1,Marya Nikolaevna,0,1,0.15480978786945343,0.18181203305721283,0.018299376592040062,0.08915285021066666,-0.3548164367675781,0.0799531638622284,0.21565918624401093,0.0977742075920105,0.13159814476966858,-0.0486881323158741,0.0884065330028534,-0.05253543332219124,0.0012787174200639129,0.1706819385290146,0.057233355939388275,0.02800712361931801,-0.04316893592476845,-0.07827597111463547,-0.20248329639434814,0.2496618777513504,-0.044283606112003326,0.032286204397678375,-0.09041038900613785,-0.006971761118620634,0.2346656173467636,0.3124556839466095,0.03253673389554024,0.06658285856246948,0.12391367554664612,0.003052839543670416,-0.06159055978059769,-0.10879789292812347,-0.32799315452575684,-0.14524632692337036,-0.06490692496299744,0.09199275821447372,0.06768938899040222,-0.0860946848988533,0.2819650173187256,0.08604805916547775,-0.11423686146736145,0.06732751429080963,0.036417797207832336,-0.19435939192771912,0.1417960524559021,-0.02717193402349949,-0.054011765867471695,-0.03661065548658371,-0.06501137465238571,0.03780915588140488,0.15195055305957794,-0.03084413707256317,0.18677948415279388,-0.08516974747180939,0.038325048983097076,-0.17993123829364777,-0.126380056142807,-0.22124779224395752,0.029874006286263466,-0.09913472831249237,0.05563200265169144,-0.04054249823093414,0.030676357448101044,0.023319270461797714,-0.18602927029132843,-0.283611536026001,0.027633149176836014,-0.05225353315472603,0.015115996822714806,-0.06278283894062042,-0.10215206444263458,0.1569238156080246,-0.11190591007471085,0.12905152142047882,-0.14654195308685303,0.2529445290565491,-0.0983966588973999,0.0013044365914538503,0.028088049963116646,-0.29169192910194397,-0.07579995691776276,0.04201817139983177,0.10383563488721848,-0.10171198844909668,0.25902268290519714,-0.02997804433107376,-0.3026024401187897,0.0679047703742981,-0.23320548236370087,-0.1523708701133728,-0.2289818823337555,0.05145898461341858,-0.057524874806404114,0.09435828775167465,0.033293504267930984,-0.09704789519309998,0.012952041812241077,-0.18988172709941864,0.0837690681219101,-0.0018263263627886772,0.017143193632364273,0.06369677186012268,-0.08435774594545364,0.04340509697794914,-0.2657983899116516,-0.18148836493492126,0.2799701988697052,0.13699965178966522,0.1641569882631302,0.13158369064331055,-0.06817267090082169,0.036993496119976044,0.11515964567661285,-0.19815616309642792,-0.0908772349357605,0.028465017676353455,-0.13959971070289612,0.002217639470472932,-0.0720859244465828,-0.02643444389104843,0.043536193668842316,-0.023741010576486588,-0.013347452506422997,0.004683610983192921,0.02058669738471508,-0.0214084479957819,-0.006090465467423201,-0.19981931149959564
2,Madame Sviazhskaya,0,1,0.2419753074645996,0.11268577724695206,0.05167084559798241,0.07009264826774597,-0.20488935708999634,0.029477214440703392,0.17364360392093658,0.09377728402614594,0.048042599111795425,-0.18565727770328522,0.04677511751651764,0.12074152380228043,0.1217135414481163,0.044228870421648026,0.07218416780233383,-0.005241695791482925,0.04812118411064148,-0.014892700128257275,-0.1629374921321869,0.2240942418575287,-0.17233069241046906,0.10786038637161255,0.022176478058099747,-0.007725080940872431,0.15501034259796143,0.2890630066394806,-0.10536516457796097,0.0773758515715599,0.13133549690246582,-0.10762185603380203,-0.02129293791949749,-0.11331585794687271,-0.25703760981559753,-0.07554368674755096,-0.09100251644849777,0.08071645349264145,0.06957896798849106,-0.2066991627216339,0.2847687304019928,0.07075804471969604,0.02949438989162445,0.07298223674297333,0.03369957581162453,-0.23930911719799042,0.019380751997232437,0.026181088760495186,0.052290692925453186,0.00038317832513712347,-0.07162775099277496,0.02656373381614685,0.08739051967859268,-0.030219808220863342,0.24230115115642548,-0.21042399108409882,0.14864195883274078,-0.027711445465683937,-0.07403768599033356,-0.12928684055805206,0.12117507308721542,-0.17446047067642212,-0.09042227268218994,-0.21139104664325714,-0.12155719101428986,0.029482154175639153,-0.1635509878396988,-0.2871890366077423,0.11064335703849792,-0.1360054463148117,-0.10776536166667938,-0.03615180402994156,-0.021930672228336334,0.13610953092575073,-0.0799441710114479,-0.0187875684350729,-0.12376866489648819,0.2589462995529175,0.054413992911577225,-0.01011943444609642,0.09025063365697861,-0.2513699233531952,-0.2061915397644043,0.004617482423782349,0.017632165923714638,-0.023171361535787582,0.25742360949516296,-0.18505322933197021,-0.22306597232818604,-0.0379938930273056,-0.17894470691680908,-0.23298737406730652,-0.3006128668785095,0.05197581648826599,-0.20884685218334198,0.05949276313185692,0.08819155395030975,-0.19892831146717072,-0.10081886500120163,-0.18043984472751617,0.11092646420001984,-0.07781340926885605,0.06290800124406815,0.07371820509433746,-0.0720849558711052,0.002906700363382697,-0.11743853241205215,-0.12582379579544067,0.15852215886116028,0.11167579889297485,0.04287007823586464,-0.029880724847316742,-0.09054406732320786,0.00986733939498663,0.09957382082939148,-0.1680069863796234,0.04529479146003723,0.040213730186223984,-0.027271060273051262,-0.025437941774725914,-0.09954740107059479,0.04389306902885437,0.2007666826248169,-0.13613757491111755,0.050415653735399246,-0.04359227418899536,0.02587486431002617,0.0007385291391983628,0.027639703825116158,-0.1936701238155365
3,Captain Kamerovsky,1,2,-0.35796454548835754,-0.2543013393878937,-0.6158071160316467,0.1220652163028717,0.10505277663469315,0.08014172315597534,-0.3876854479312897,0.21264402568340302,-0.012620141729712486,0.49307772517204285,0.060157597064971924,-0.2942411005496979,-0.137161985039711,0.5385685563087463,0.1700795590877533,0.24723176658153534,0.13533873856067657,-0.0857890248298645,-0.12585635483264923,-0.5358890295028687,0.7439688444137573,-0.3648952841758728,-0.44535115361213684,0.05766463652253151,0.2037591189146042,-0.6977300047874451,0.9660957455635071,-0.42176154255867004,0.5050157904624939,0.17140930891036987,0.04177640751004219,0.26603373885154724,-0.07241015881299973,-0.09399624168872833,0.34159475564956665,-0.36923444271087646,-0.22327186167240143,0.6805762648582458,-0.24424922466278076,0.3892222046852112,-0.3141929805278778,-0.006198260001838207,0.15165558457374573,-0.32124802470207214,0.09887541830539703,-0.24689114093780518,-0.357893168926239,-0.2666340172290802,-0.7101946473121643,-0.23902589082717896,0.5175029039382935,-0.06665191799402237,-0.3072517216205597,0.8297759890556335,-0.36816462874412537,0.07945123314857483,-0.4579533636569977,-0.20876328647136688,-0.1308397352695465,1.0068812370300293,0.5845164060592651,0.4420320391654968,0.45671868324279785,-0.5825805068016052,0.006851621903479099,0.53959721326828,-0.3144274950027466,0.8165538907051086,0.5371711254119873,-0.47381705045700073,-0.00727721955627203,-0.08825848251581192,-0.8180879950523376,-0.011846724897623062,0.05285307765007019,0.07472805678844452,-0.7427573800086975,0.2811158299446106,-0.17322051525115967,-0.0633799135684967,0.5747090578079224,-0.07091975212097168,0.046658724546432495,0.016842827200889587,-0.2635232210159302,0.6423965096473694,0.343593031167984,0.021558240056037903,-0.12180502712726593,0.9729343056678772,0.32749825716018677,0.1799130141735077,0.40791526436805725,-0.17777952551841736,-0.533968985080719,0.43532904982566833,0.308870404958725,0.11114200949668884,-0.30808934569358826,0.41822880506515503,-0.4204597473144531,0.3482745885848999,0.01593269594013691,0.09329669922590256,-0.17069551348686218,0.12139062583446503,0.2307066172361374,0.4673345685005188,0.5786777138710022,0.21234677731990814,0.04176059365272522,0.008325147442519665,-0.07107246667146683,-0.16839420795440674,-0.5868985652923584,-0.3447708487510681,-0.3368627727031708,-0.12667441368103027,-0.01674799621105194,-0.7123587727546692,-0.645196795463562,0.6154681444168091,-0.2808719873428345,0.29157838225364685,0.12350530922412872,0.07538770139217377,-0.3909365236759186,-0.04514908045530319
4,Countess Vronsky,1,2,-0.02644442394375801,-0.2388184815645218,-0.23727376759052277,0.1313326507806778,0.1906271129846573,0.015750782564282417,-0.20813347399234772,-0.0967148020863533,-0.24589210748672485,0.10899049788713455,-0.09844072163105011,-0.05282099172472954,0.08240050077438354,0.04317241907119751,-0.12514628469944,-0.09829862415790558,0.22047406435012817,-0.07853837311267853,0.15862233936786652,-0.2429606169462204,0.323828786611557,-0.11951575428247452,-0.167038232088089,0.2000713050365448,0.10321365296840668,-0.38579222559928894,0.08766008168458939,-0.20181739330291748,0.025399159640073776,0.15769879519939423,0.19965361058712006,0.1468486487865448,-0.21119801700115204,0.12221420556306839,0.2550143003463745,-0.20951756834983826,0.014739339239895344,0.409089595079422,-0.013856107369065285,0.13830780982971191,0.11361593008041382,0.11325551569461823,-0.12916626036167145,0.034536127001047134,0.1491071879863739,-0.1875709444284439,-0.09046002477407455,-0.009240340441465378,-0.007329610642045736,-0.19384026527404785,0.02308431640267372,-0.010203929618000984,-0.13398738205432892,0.43702200055122375,-0.2886248826980591,-0.013201321475207806,-0.26318150758743286,-0.002033817581832409,-0.1773443967103958,0.3976087272167206,0.13587117195129395,-0.09608672559261322,0.46267375349998474,-0.6101895570755005,-0.16517305374145508,0.44675081968307495,-0.22799892723560333,0.3051539957523346,0.5246850252151489,0.197706401348114,0.06720725446939468,-0.023173073306679726,-0.23471610248088837,0.06481801718473434,0.19396843016147614,-0.12074608355760574,-0.4284932613372803,0.09767205268144608,-0.321720689535141,0.09258092194795609,0.25162050127983093,-0.09049903601408005,-0.09847074002027512,0.2153426855802536,-0.3246283531188965,0.17105139791965485,0.04345778748393059,-0.2054765820503235,-0.022434905171394348,0.4329230785369873,0.054647937417030334,0.03951336443424225,-0.07526374608278275,-0.334860235452652,-0.43901968002319336,0.1787099391222,0.06053627282381058,0.2993033528327942,-0.18722064793109894,0.32513609528541565,-0.21683751046657562,0.4618561267852783,-0.14111612737178802,-0.3160282075405121,0.1135137677192688,0.32450369000434875,-0.2931078374385834,0.20095916092395782,0.04258624464273453,-0.04679080471396446,0.07772035151720047,-0.2237595170736313,0.031096208840608597,-0.08456579595804214,-0.1784689575433731,0.04269973561167717,-0.01516007725149393,-0.09271981567144394,-0.10418339818716049,0.05039520561695099,-0.04860907793045044,0.07645739614963531,-0.1532323956489563,0.04366869479417801,-0.12055633217096329,0.3620668053627014,-0.18515293300151825,0.13564366102218628
5,Baroness Shilton,1,2,-0.41862237453460693,-0.22000929713249207,-0.6734364032745361,0.05940306931734085,0.16192784905433655,0.08758983761072159,-0.42742258310317993,0.22031933069229126,-0.010700422339141369,0.5509846210479736,0.0760941356420517,-0.3495055139064789,-0.20089928805828094,0.5944259166717529,0.14984773099422455,0.23758862912654877,0.09824781864881516,-0.11162330210208893,-0.1028897762298584,-0.6044525504112244,0.8309208154678345,-0.4478299915790558,-0.5593646764755249,0.0045729586854577065,0.25291427969932556,-0.7382242679595947,1.041540265083313,-0.4805827736854553,0.5117453336715698,0.23750990629196167,0.039225414395332336,0.27248311042785645,-0.039213139563798904,-0.1900559365749359,0.3868900239467621,-0.35522377490997314,-0.23267054557800293,0.79498291015625,-0.20534071326255798,0.3710077404975891,-0.3897581696510315,0.05939143896102905,0.12702399492263794,-0.2895083725452423,0.17292438447475433,-0.20022951066493988,-0.4443126916885376,-0.2916073203086853,-0.7116960883140564,-0.21618609130382538,0.5537806749343872,-0.022165516391396523,-0.4261702299118042,0.9124243855476379,-0.3971188962459564,0.07784199714660645,-0.5006659626960754,-0.318821519613266,-0.22425010800361633,1.0593479871749878,0.685416042804718,0.5025972723960876,0.49602431058883667,-0.6025651097297668,0.001964924857020378,0.5150325298309326,-0.3900575637817383,0.8445631861686707,0.6389977335929871,-0.49572739005088806,0.015061109326779842,-0.11338646709918976,-0.7623976469039917,0.0860036239027977,0.06910847872495651,0.03311965614557266,-0.8257268667221069,0.30915406346321106,-0.2512134611606598,-0.05243368819355965,0.6621942520141602,-0.10248074680566788,-0.005436643958091736,-0.055839989334344864,-0.29777035117149353,0.6565574407577515,0.35185500979423523,0.04650818556547165,-0.1297100931406021,1.1018879413604736,0.4318930506706238,0.17843087017536163,0.4414050281047821,-0.17825601994991302,-0.5709754824638367,0.5262248516082764,0.3352152407169342,0.1556234359741211,-0.2840711772441864,0.48078805208206177,-0.474288672208786,0.3083656132221222,0.0341527983546257,0.10023315995931625,-0.24907425045967102,0.08395001292228699,0.26637592911720276,0.47483518719673157,0.6333721876144409,0.3518892526626587,0.08578472584486008,0.058552708476781845,-0.06794150918722153,-0.13675889372825623,-0.7342627048492432,-0.29963767528533936,-0.4148399531841278,-0.12482134997844696,-0.04244104400277138,-0.6995553970336914,-0.7057245969772339,0.703504204750061,-0.32217657566070557,0.35955488681793213,0.12861619889736176,0.0037692261394113302,-0.3556824326515198,-0.05730511620640755
6,Princess Betsy Tverskoy,1,2,-0.08951564878225327,-0.39564958214759827,-0.3704853355884552,-0.08362535387277603,0.3768368661403656,0.06107732281088829,-0.19757714867591858,-0.05714867636561394,-0.18381106853485107,-0.04941636696457863,-0.17582203447818756,0.08078620582818985,0.1291065216064453,-0.07014551758766174,0.068878173828125,-0.10121249407529831,0.3010191023349762,0.00045800331281498075,0.09277087450027466,-0.36548200249671936,0.233833447098732,-0.2308720052242279,-0.18762023746967316,0.024396171793341637,0.041819244623184204,-0.4925893247127533,0.15113282203674316,-0.23231814801692963,0.1561526209115982,0.001753151649609208,0.2505374252796173,0.15231840312480927,0.010093887336552143,0.054845575243234634,0.13529980182647705,-0.2047177255153656,0.052999816834926605,0.23120413720607758,-0.008425489999353886,-0.007640034891664982,0.1330348551273346,0.2175886183977127,-0.06253005564212799,-0.027258384972810745,0.0008595704566687346,-0.05550645291805267,-0.06532089412212372,0.03755268082022667,-0.10030689090490341,-0.18258161842823029,-0.000964892387855798,-0.01823033019900322,-0.2840888798236847,0.3977886438369751,-0.03931747376918793,0.19881954789161682,-0.12272676825523376,-0.20204676687717438,-0.025860434398055077,0.319401353597641,0.09858736395835876,-0.2045462280511856,0.16911780834197998,-0.46982723474502563,-0.05909881368279457,0.3439584970474243,-0.10636552423238754,0.21961447596549988,0.42048823833465576,0.10047382861375809,0.24406889081001282,-0.16105954349040985,-0.06593533605337143,-0.11967292428016663,0.17075151205062866,-0.06876048445701599,-0.4252421259880066,0.13610872626304626,-0.30478435754776,0.11603529006242752,0.14091263711452484,-0.11952991783618927,-0.29154396057128906,0.1644529551267624,-0.5153918862342834,0.053186070173978806,0.2366817146539688,-0.09489065408706665,0.10830634832382202,0.5551270842552185,0.16369985044002533,-0.0099604157730937,-0.11966807395219803,-0.3122941851615906,-0.27066153287887573,0.11677367240190506,-0.05109522491693497,0.42948463559150696,0.005469262599945068,0.2116139829158783,-0.21001338958740234,0.27163806557655334,-0.0436415895819664,-0.22181925177574158,0.15546973049640656,0.14298978447914124,-0.3328225910663605,0.024956628680229187,-0.031705912202596664,-0.04529741033911705,0.03142442926764488,-0.12092377245426178,-0.09894927591085434,0.005655468441545963,-0.18986044824123383,-0.003030724124982953,0.07480669766664505,-0.18576690554618835,-0.11741197109222412,0.11123397201299667,-0.02920527383685112,0.06150282546877861,-0.030565259978175163,0.08926516771316528,-0.1063273623585701,0.20485949516296387,-0.15375329554080963,0.17274799942970276
7,Tanya,2,0,0.22142232954502106,-0.37633776664733887,-0.34005415439605713,0.16067805886268616,0.25994959473609924,0.03115558996796608,-0.11563406139612198,0.2218542993068695,0.10013503581285477,-0.22417062520980835,-0.10091081261634827,0.3677029013633728,0.25833433866500854,0.04758977144956589,0.13459843397140503,0.12677739560604095,0.36496976017951965,0.03772541135549545,-0.2519757151603699,-0.1261778622865677,-0.497305303812027,0.08342655748128891,-0.016728004440665245,-0.06345916539430618,-0.11314482986927032,-0.00986330583691597,-0.008105984888970852,-0.06434603780508041,0.3934091031551361,-0.26603764295578003,-0.05107232928276062,-0.02721836417913437,0.14041507244110107,0.14328394830226898,-0.15490160882472992,0.0063528940081596375,-0.048251405358314514,-0.297990083694458,-0.03935309499502182,-0.007472178898751736,0.31005969643592834,-0.15746846795082092,-0.04820951446890831,-0.4047826826572418,-0.09391879290342331,-0.017988858744502068,0.2788979113101959,-0.04652561619877815,-0.37173280119895935,-0.010083145461976528,0.050784382969141006,-0.2178170084953308,0.2417086660861969,-0.1401093453168869,0.3634583353996277,0.25346341729164124,-0.06670374423265457,0.09226028621196747,0.30692383646965027,0.14292016625404358,-0.19932696223258972,-0.2590740919113159,-0.5800378322601318,-0.1877892017364502,0.19426675140857697,-0.10881888121366501,0.039427500218153,0.1633528172969818,-0.23969712853431702,-0.15398837625980377,0.09929050505161285,0.20574472844600677,-0.406960666179657,-0.4922652244567871,0.059338364750146866,0.27556145191192627,0.26626110076904297,0.10854599624872208,0.3262747526168823,-0.07992371171712875,-0.17718276381492615,-0.025451727211475372,-0.17480210959911346,-0.08349218964576721,0.28515639901161194,-0.2962501347064972,0.22289708256721497,-0.06668812781572342,-0.21565985679626465,-0.3542742133140564,-0.3185191750526428,0.021287234500050545,-0.49496427178382874,0.13612398505210876,0.19472673535346985,-0.2830960154533386,-0.5196864604949951,-0.21707211434841156,0.1893460750579834,-0.23243175446987152,0.1781160682439804,0.103020578622818,0.17236904799938202,0.1887327879667282,0.07306765019893646,0.07023365795612335,0.017524955794215202,0.352744460105896,0.05781922861933708,-0.4900570809841156,-0.25929179787635803,0.2615014612674713,-0.2004053294658661,-0.10002642124891281,0.08455634117126465,-0.2361476719379425,0.13100486993789673,-0.002926398767158389,-0.23291438817977905,-0.11349065601825714,0.20156702399253845,-0.16913911700248718,0.25654855370521545,0.1290283203125,0.0972490981221199,-0.10801952332258224,-0.17931312322616577,-0.3285186290740967
8,Varya,1,2,-0.10590303689241409,-0.413472056388855,-0.3346547782421112,0.00772466417402029,0.38152021169662476,0.04638764634728432,-0.2028769999742508,-0.06973227858543396,-0.2598319947719574,-0.017892450094223022,-0.1650499850511551,0.11871301382780075,0.11198671907186508,0.004034539684653282,0.06787266582250595,-0.0941343605518341,0.3134646713733673,0.09153813868761063,0.053023431450128555,-0.40740251541137695,0.3035001754760742,-0.18660862743854523,-0.1909932643175125,0.13659237325191498,0.08545129746198654,-0.5135548710823059,0.15629743039608002,-0.26726728677749634,0.1276954561471939,0.06186461076140404,0.23320719599723816,0.16027343273162842,-0.010974952019751072,0.013675153255462646,0.13723990321159363,-0.23923030495643616,-0.030090296640992165,0.36866170167922974,-0.006550484336912632,0.05118991434574127,0.13929712772369385,0.13346946239471436,-0.016156479716300964,-0.06888183951377869,-0.021462898701429367,-0.09786170721054077,-0.07797104120254517,-0.014511226676404476,-0.08673851191997528,-0.21682575345039368,0.05745703727006912,-0.0787508487701416,-0.22303418815135956,0.37523818016052246,-0.12941232323646545,0.24346333742141724,-0.20009732246398926,-0.0918278768658638,-0.027879152446985245,0.4190991520881653,0.07289057970046997,-0.1717919558286667,0.23386533558368683,-0.56600421667099,-0.11557488143444061,0.42427733540534973,-0.08178548514842987,0.2744766175746918,0.3918543756008148,0.09737242013216019,0.15014204382896423,-0.0560520738363266,-0.1442030966281891,-0.13737034797668457,0.14746132493019104,-0.033603716641664505,-0.34405359625816345,0.15799735486507416,-0.2842288315296173,0.11874621361494064,0.11060363054275513,-0.12378884851932526,-0.2673756182193756,0.2887899875640869,-0.42889246344566345,0.025266358628869057,0.20291921496391296,-0.20498579740524292,0.1501358151435852,0.5618469715118408,0.17224140465259552,0.09664781391620636,-0.08654037863016129,-0.3736013174057007,-0.4106193482875824,0.13111163675785065,-0.07263436913490295,0.3524942994117737,-0.0747728943824768,0.2707640528678894,-0.317247211933136,0.3179931342601776,-0.08699747920036316,-0.2943989336490631,0.1580875962972641,0.24919266998767853,-0.2738340198993683,0.1842886060476303,-0.07946112006902695,-0.1728905439376831,0.10587669163942337,-0.2082298845052719,-0.05782286077737808,-0.045587290078401566,-0.17344635725021362,-0.06570827960968018,0.07935632020235062,-0.1568194180727005,0.02667192555963993,0.017234917730093002,-0.006881162524223328,0.07379891723394394,-0.09088938683271408,0.07568307965993881,-0.11729808896780014,0.24571503698825836,-0.1473359763622284,0.10979675501585007
9,Professor Katavasov,0,1,0.3416421711444855,0.21656650304794312,0.1371740847826004,0.287609726190567,-0.3244829475879669,0.047464869916439056,0.24357987940311432,0.055323150008916855,0.09876032173633575,-0.20081226527690887,0.2150065153837204,0.25218653678894043,0.1381348967552185,0.1963815540075302,0.12011629343032837,0.009062560275197029,0.08112608641386032,0.2275014966726303,-0.32932791113853455,0.4028654098510742,-0.2098463922739029,0.23947635293006897,0.03490957245230675,0.2584642171859741,0.21849894523620605,0.479354590177536,-0.009123831987380981,0.1627965271472931,0.3236212432384491,-0.21130427718162537,-0.32083752751350403,-0.06235490366816521,-0.45408865809440613,0.023019226267933846,-0.2117408812046051,0.0006622107466682792,-0.08478947728872299,-0.3878963887691498,0.2564176917076111,0.2975350618362427,0.15391623973846436,-0.09997609257698059,0.2628592848777771,-0.441051721572876,-0.23033659160137177,-0.10716480016708374,-0.01325567439198494,-0.1972578465938568,-0.2779456079006195,-0.0032388903200626373,0.4999842941761017,-0.15970782935619354,0.7009512186050415,-0.42943212389945984,0.02487642504274845,0.07903921604156494,-0.12531910836696625,0.07047510147094727,0.46892133355140686,-0.10059485584497452,-0.233906090259552,-0.05821215361356735,-0.21210135519504547,0.14438411593437195,-0.3445415496826172,-0.3897779881954193,0.4932481646537781,-0.006482503842562437,-0.4331284165382385,-0.24289588630199432,-0.19401362538337708,0.4446970820426941,-0.33718937635421753,-0.18742571771144867,-0.26608362793922424,0.45775243639945984,0.41957852244377136,-0.04836702346801758,0.27564769983291626,-0.5142027139663696,-0.5078009963035583,0.05829710513353348,0.2338947355747223,0.24440285563468933,0.6971625685691833,-0.13281667232513428,-0.17898818850517273,-0.2694368064403534,-0.18379676342010498,-0.5029143691062927,-0.6287244558334351,0.40763288736343384,-0.28212103247642517,0.02171800099313259,0.04747454822063446,-0.41827449202537537,0.022793827578425407,-0.5629909038543701,0.008007286116480827,-0.17401418089866638,-0.02291371300816536,0.19559577107429504,-0.2670789062976837,-0.029853271320462227,0.013089976273477077,-0.019467171281576157,0.4650154709815979,0.4549219012260437,0.1128677949309349,-0.4437108635902405,-0.1709875613451004,-0.029950696974992752,0.18289385735988617,-0.3474452495574951,0.31564903259277344,-0.28059184551239014,-0.05970471724867821,-0.09081875532865524,0.04879724979400635,-0.43628543615341187,0.34956780076026917,-0.25680699944496155,-0.03211401030421257,-0.22435025870800018,0.1325615793466568,0.12802471220493317,-0.05501830205321312,-0.4011647701263428
