Arseny Lvov,Prince Stepan Arkadyevitch Oblonsky,8
Arseny Lvov,Princess Darya Alexandrovna,6
Arseny Lvov,Konstantin Dmitrievitch Levin,22
Arseny Lvov,Princess Ekaterina Alexandrovna Shtcherbatsky,12
Arseny Lvov,Princess Natalia,10
Arseny Lvov,Professor Katavasov,4
Arseny Lvov,Professor Metrov,4
Arseny Lvov,Sergey Ivanovitch Koznishev,2
Princess Varvara,Captain Yashvin,6
Princess Varvara,Count Alexey Kirillovitch Vronsky,20
Princess Varvara,Anna Arkadyevna Karenin,30
Princess Varvara,Grisha,2
Princess Varvara,Sergey Ivanovitch Koznishev,2
Princess Varvara,Nikolay Ivanovitch Sviazhsky,14
Princess Varvara,Vassenka Veslovsky,8
Princess Varvara,Princess Darya Alexandrovna,22
Princess Varvara,Prince Stepan Arkadyevitch Oblonsky,4
Princess Varvara,Alexey Alexandrovitch Karenin,6
Princess Varvara,Princess Betsy Tverskoy,2
Princess Varvara,Anna Pavlovna,4
Princess Varvara,Countess Vronsky,4
Alexey Alexandrovitch Karenin,Anna Arkadyevna Karenin,188
Alexey Alexandrovitch Karenin,Prince Stepan Arkadyevitch Oblonsky,100
Alexey Alexandrovitch Karenin,Princess Ekaterina Alexandrovna Shtcherbatsky,18
Alexey Alexandrovitch Karenin,Sergey,40
Alexey Alexandrovitch Karenin,Countess Vronsky,20
Alexey Alexandrovitch Karenin,Count Alexey Kirillovitch Vronsky,90
Alexey Alexandrovitch Karenin,Countess Lidia Ivanovna,70
Alexey Alexandrovitch Karenin,Princess Darya Alexandrovna,40
Alexey Alexandrovitch Karenin,Princess Betsy Tverskoy,42
Alexey Alexandrovitch Karenin,Madame Karenina,8
Alexey Alexandrovitch Karenin,Prince Alexander Shtcherbatsky,6
Alexey Alexandrovitch Karenin,Captain Yashvin,4
Alexey Alexandrovitch Karenin,Varya,6
Alexey Alexandrovitch Karenin,Konstantin Dmitrievitch Levin,16
Alexey Alexandrovitch Karenin,Sergey Ivanovitch Koznishev,12
Alexey Alexandrovitch Karenin,Nikolay Levin,4
Alexey Alexandrovitch Karenin,Golenishtchev,2
Alexey Alexandrovitch Karenin,Vassily Fedorovitch,2
Alexey Alexandrovitch Karenin,Marya Nikolaevna,2
Alexey Alexandrovitch Karenin,Princess Varvara,6
Alexey Alexandrovitch Karenin,Nikolay Ivanovitch Sviazhsky,4
Alexey Alexandrovitch Karenin,Vassenka Veslovsky,2
Alexey Alexandrovitch Karenin,Anna Pavlovna,2
Sergey Ivanovitch Koznishev,Konstantin Dmitrievitch Levin,128
