MSOA11CD;MSOA11NM;Local authority;covid_19_deaths;covid_19_deaths_per_thousand
E02000001;City of London 001;City of London;3;0,344589938
E02000002;Barking and Dagenham 001;Barking and Dagenham;2;0,259067358
E02000003;Barking and Dagenham 002;Barking and Dagenham;3;0,271468645
E02000004;Barking and Dagenham 003;Barking and Dagenham;9;1,366535074
E02000005;Barking and Dagenham 004;Barking and Dagenham;5;0,488806335
E02000007;Barking and Dagenham 006;Barking and Dagenham;9;0,889064507
E02000008;Barking and Dagenham 007;Barking and Dagenham;10;0,791452315
E02000009;Barking and Dagenham 008;Barking and Dagenham;7;0,603864734
E02000010;Barking and Dagenham 009;Barking and Dagenham;6;0,652386648
E02000011;Barking and Dagenham 010;Barking and Dagenham;6;0,859229557
E02000012;Barking and Dagenham 011;Barking and Dagenham;3;0,265721878
E02000013;Barking and Dagenham 012;Barking and Dagenham;4;0,449488707
E02000014;Barking and Dagenham 013;Barking and Dagenham;3;0,299520767
E02000015;Barking and Dagenham 014;Barking and Dagenham;3;0,371793283
E02000016;Barking and Dagenham 015;Barking and Dagenham;1;0,100563154
E02000017;Barking and Dagenham 016;Barking and Dagenham;3;0,321508949
E02000018;Barking and Dagenham 017;Barking and Dagenham;6;0,612932884
E02000019;Barking and Dagenham 018;Barking and Dagenham;5;0,546567556
E02000020;Barking and Dagenham 019;Barking and Dagenham;2;0,153668844
E02000021;Barking and Dagenham 020;Barking and Dagenham;6;0,668896321
E02000022;Barking and Dagenham 021;Barking and Dagenham;3;0,359109409
E02000023;Barking and Dagenham 022;Barking and Dagenham;2;0,250469631
E02000024;Barnet 001;Barnet;6;0,546050237
E02000025;Barnet 002;Barnet;12;1,419950302
E02000026;Barnet 003;Barnet;2;0,301704631
E02000027;Barnet 004;Barnet;9;0,922792987
E02000028;Barnet 005;Barnet;2;0,298819662
E02000029;Barnet 006;Barnet;7;0,746109572
E02000030;Barnet 007;Barnet;6;0,645994832
E02000031;Barnet 008;Barnet;11;1,423395445
E02000032;Barnet 009;Barnet;5;0,634276291
E02000033;Barnet 010;Barnet;7;0,78484135
E02000034;Barnet 011;Barnet;8;0,862440707
E02000035;Barnet 012;Barnet;13;1,443963123
E02000036;Barnet 013;Barnet;9;0,777403472
E02000037;Barnet 014;Barnet;11;1,059934477
E02000038;Barnet 015;Barnet;20;1,734304544
E02000039;Barnet 016;Barnet;6;0,825536599
E02000040;Barnet 017;Barnet;9;1,097560976
E02000041;Barnet 018;Barnet;7;0,702035904
E02000042;Barnet 019;Barnet;13;1,070046917
E02000043;Barnet 020;Barnet;5;0,610128127
E02000044;Barnet 021;Barnet;5;0,563443768
E02000045;Barnet 022;Barnet;3;0,275027503
E02000046;Barnet 023;Barnet;4;0,527565286
E02000047;Barnet 024;Barnet;7;0,564607195
E02000048;Barnet 025;Barnet;2;0,187881635
E02000049;Barnet 026;Barnet;4;0,43047783
E02000050;Barnet 027;Barnet;6;0,550206327
E02000051;Barnet 028;Barnet;8;0,825934338
E02000052;Barnet 029;Barnet;3;0,283393161
E02000053;Barnet 030;Barnet;1;0,063926357
E02000054;Barnet 031;Barnet;8;1,050420168
E02000055;Barnet 032;Barnet;7;0,590169463
E02000056;Barnet 033;Barnet;9;0,961846746
E02000057;Barnet 034;Barnet;9;1,104701117
E02000058;Barnet 035;Barnet;3;0,273997625
E02000059;Barnet 036;Barnet;14;1,200892091
E02000060;Barnet 037;Barnet;9;0,728273183
E02000061;Barnet 038;Barnet;10;1,113585746
E02000062;Barnet 039;Barnet;3;0,439496045
E02000063;Barnet 040;Barnet;4;0,52
E02000064;Barnet 041;Barnet;0;0
E02000065;Bexley 001;Bexley;0;0
E02000066;Bexley 002;Bexley;3;0,297944185
E02000067;Bexley 003;Bexley;3;0,292198305
E02000068;Bexley 004;Bexley;3;0,367556971
E02000069;Bexley 005;Bexley;3;0,444049734
E02000070;Bexley 006;Bexley;0;0
E02000071;Bexley 007;Bexley;3;0,391747192
E02000072;Bexley 008;Bexley;1;0,077814956
E02000073;Bexley 009;Bexley;6;0,549349936
E02000074;Bexley 010;Bexley;7;0,820921778
E02000075;Bexley 011;Bexley;4;0,484202881
E02000077;Bexley 013;Bexley;9;1,092100473
E02000078;Bexley 014;Bexley;5;0,631871604
E02000079;Bexley 015;Bexley;19;2,193995381
E02000080;Bexley 016;Bexley;1;0,098289758
E02000081;Bexley 017;Bexley;3;0,37327361
E02000082;Bexley 018;Bexley;5;0,542829226
E02000083;Bexley 019;Bexley;3;0,262697023
E02000084;Bexley 020;Bexley;1;0,090686497
E02000085;Bexley 021;Bexley;2;0,249875062
E02000086;Bexley 022;Bexley;4;0,546896363
E02000087;Bexley 023;Bexley;2;0,248169748
E02000088;Bexley 024;Bexley;2;0,256607647
E02000089;Bexley 025;Bexley;8;1,011633789
E02000090;Bexley 026;Bexley;9;0,943198491
E02000091;Bexley 027;Bexley;9;0,903070439
E02000092;Bexley 028;Bexley;7;1,030320871
E02000093;Brent 001;Brent;14;1,255943303
E02000094;Brent 002;Brent;6;0,653381248
E02000095;Brent 003;Brent;7;0,700420252
E02000096;Brent 004;Brent;7;0,936454849
E02000097;Brent 005;Brent;10;1,099263493
E02000098;Brent 006;Brent;20;2,370510845
E02000099;Brent 007;Brent;5;0,559221564
E02000100;Brent 008;Brent;6;0,680812436
E02000101;Brent 009;Brent;15;1,562825589
E02000102;Brent 010;Brent;9;1,197764174
E02000103;Brent 011;Brent;4;0,433980688
E02000104;Brent 012;Brent;10;1,373437715
E02000105;Brent 013;Brent;6;0,616903146
E02000106;Brent 014;Brent;12;1,126549005
E02000107;Brent 015;Brent;2;0,173415417
E02000108;Brent 016;Brent;6;0,901713255
E02000109;Brent 017;Brent;14;1,085860544
E02000110;Brent 018;Brent;4;0,463929483
E02000111;Brent 019;Brent;10;0,926097425
E02000112;Brent 020;Brent;8;0,762485703
E02000113;Brent 021;Brent;8;0,815078961
E02000114;Brent 022;Brent;5;0,492610837
E02000115;Brent 023;Brent;4;0,453977982
E02000116;Brent 024;Brent;6;0,639249947
E02000117;Brent 025;Brent;28;2,14954706
E02000118;Brent 026;Brent;14;1,353703346
E02000119;Brent 027;Brent;11;1,222222222
E02000120;Brent 028;Brent;2;0,216990344
E02000121;Brent 029;Brent;15;1,393663477
E02000122;Brent 030;Brent;8;1,02406554
E02000123;Brent 031;Brent;12;0,754527163
E02000124;Brent 032;Brent;6;0,592534071
E02000125;Brent 033;Brent;5;0,478377344
E02000126;Brent 034;Brent;5;0,630994447
E02000127;Bromley 001;Bromley;2;0,211617818
E02000128;Bromley 002;Bromley;1;0,128139416
E02000130;Bromley 004;Bromley;1;0,115928588
E02000131;Bromley 005;Bromley;6;0,569746463
E02000132;Bromley 006;Bromley;5;0,490918017
E02000133;Bromley 007;Bromley;4;0,377109456
E02000134;Bromley 008;Bromley;7;0,586313762
E02000135;Bromley 009;Bromley;7;0,664325709
E02000136;Bromley 010;Bromley;8;1,390095569
E02000137;Bromley 011;Bromley;6;0,70663055
E02000138;Bromley 012;Bromley;5;0,583294447
E02000139;Bromley 013;Bromley;5;0,636780438
E02000140;Bromley 014;Bromley;5;0,571493885
