,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
0,acton-central,859,51.5087577801896,-0.263430199363473,POINT (-0.263430199363473 51.5087577801896),0.376553282
1,willesden-junction,3657,51.5322339634936,-0.2439091432974829,POINT (-0.2439091432974829 51.5322339634936),0.210504157
2,kensal-green,2578,51.530524214157886,-0.224713384073025,POINT (-0.224713384073025 51.53052421415789),0.225326724
3,queens-park,3900,51.534312650570094,-0.20479814938675692,POINT (-0.2047981493867569 51.53431265057009),0.467344316
4,kilburn-high-road,1016,51.5372677411075,-0.19111310573360998,POINT (-0.19111310573361 51.5372677411075),0.135722041
5,south-hampstead,972,51.5414768475966,-0.17837119996038694,POINT (-0.1783711999603869 51.5414768475966),0.344589938
6,euston,39512,51.52866433052879,-0.133296471846732,POINT (-0.133296471846732 51.52866433052879),0.639386189
7,kings-cross-st-pancras,49064,51.5303124622023,-0.123872129573615,POINT (-0.123872129573615 51.5303124622023),0.181175831
8,farringdon,37152,51.5201956882975,-0.10484306195035001,POINT (-0.10484306195035 51.5201956882975),0.198176774
9,liverpool-street,51537,51.5175982643439,-0.0822496222771093,POINT (-0.0822496222771093 51.5175982643439),1.459034792
10,whitechapel,22973,51.5195877855755,-0.0594204851891818,POINT (-0.0594204851891818 51.5195877855755),0.122910521
11,stepney-green,15080,51.5219958335811,-0.0473825233217984,POINT (-0.0473825233217984 51.5219958335811),0.124455507
12,mile-end,16884,51.5253109704202,-0.0326660843305231,POINT (-0.0326660843305231 51.5253109704202),0.232306024
13,bow-road,12172,51.5270418067574,-0.0243595906651091,POINT (-0.0243595906651091 51.5270418067574),0.44127381
14,bromley-by-bow,11124,51.524840200182105,-0.0116823743599265,POINT (-0.0116823743599265 51.5248402001821),0.612745098
15,west-ham,15186,51.528525519359896,0.00531739383062769,POINT (0.00531739383062769 51.5285255193599),0.289407679
16,barking,7947,51.539521113341294,0.0808316100128655,POINT (0.0808316100128655 51.53952111334129),0.612745098
17,kensal-rise,1072,51.5342150645901,-0.220820978659314,POINT (-0.220820978659314 51.5342150645901),0.467344316
18,brondesbury-park,1077,51.54032536575461,-0.21047394668161296,POINT (-0.210473946681613 51.54032536575461),0.467344316
19,brondesbury,1228,51.5452623623785,-0.20283848573229105,POINT (-0.202838485732291 51.5452623623785),1.194426012
20,west-hampstead,8265,51.547474333050786,-0.19112658556357198,POINT (-0.191126585563572 51.54747433305079),1.373437715
21,finchley-road-and-frognal,2086,51.550119498240996,-0.1836512026521369,POINT (-0.1836512026521369 51.550119498241),1.373437715
22,hampstead-heath,2218,51.5551999245613,-0.164566183247471,POINT (-0.164566183247471 51.5551999245613),0.453977982
23,gospel-oak,2203,51.555405293199605,-0.151301032571058,POINT (-0.151301032571058 51.55540529319961),0.564607195
24,upper-holloway,417,51.563623304644004,-0.129109363657748,POINT (-0.129109363657748 51.563623304644),0.225326724
25,crouch-hill,432,51.571327097518214,-0.11713328488972699,POINT (-0.117133284889727 51.57132709751821),0.52608505
26,harringay-green-lanes,449,51.5771458929243,-0.0982173917761519,POINT (-0.09821739177615189 51.5771458929243),0.546567556
27,south-tottenham,474,51.580402586226796,-0.0718559566013612,POINT (-0.0718559566013612 51.5804025862268),0.488854126
28,blackhorse-road,3484,51.5857766270677,-0.0396257115532134,POINT (-0.0396257115532134 51.5857766270677),0.398692289
29,harlesden,2212,51.5362583277376,-0.257495674234359,POINT (-0.257495674234359 51.5362583277376),0.344589938
30,stonebridge-park,1952,51.5439865540715,-0.27540044151891496,POINT (-0.275400441518915 51.5439865540715),0.960768615
31,wembley-central,3116,51.551864780302715,-0.296392327030991,POINT (-0.296392327030991 51.55186478030272),0.255580167
32,harrow-and-wealdstone,1687,51.592594632669496,-0.33425268508328304,POINT (-0.334252685083283 51.5925946326695),0.698486612
33,bushey,303,51.6455441595026,-0.384721541354714,POINT (-0.384721541354714 51.6455441595026),2.5
34,kentish-town-west,1891,51.546547969524404,-0.146756409869457,POINT (-0.146756409869457 51.5465479695244),0.492610837
35,camden-road,2209,51.541851234203605,-0.13920311252229198,POINT (-0.139203112522292 51.54185123420361),0.776020953
36,south-acton,674,51.4996858283591,-0.270215207515349,POINT (-0.270215207515349 51.4996858283591),1.097560976
37,gunnersbury,3688,51.4918634114529,-0.27516413582292604,POINT (-0.275164135822926 51.4918634114529),0.678656261
38,turnham-green,15773,51.495181941248596,-0.25452456805284,POINT (-0.25452456805284 51.4951819412486),0.234934806
39,hammersmith-district,16210,51.49181977607929,-0.222860928771942,POINT (-0.222860928771942 51.49181977607929),0.453221107
40,barons-court,17838,51.4902286819759,-0.213430145064537,POINT (-0.213430145064537 51.4902286819759),0.453221107
41,earls-court,32491,51.4913566719448,-0.19431380928726505,POINT (-0.194313809287265 51.4913566719448),0.586252382
42,west-brompton,11649,51.4873289147265,-0.19553881189039604,POINT (-0.195538811890396 51.4873289147265),0.12363996
