Name, Sex
ALEXEY ALEXANDROVITCH KARENIN, M
ANNA ARKADYEVNA KARENIN,  F
SERGEY,  M
COUNT ALEXEY KIRILLOVITCH VRONSKY, M
COUNTESS VRONSKY,  F
VARYA,  F
LIEUTENANT PETRITSKY, M
CAPTAIN KAMEROVSKY,  M
CAPTAIN YASHVIN, M
PRINCE STEPAN ARKADYEVITCH OBLONSKY, M
PRINCESS DARYA ALEXANDROVNA,  F
GRISHA, M
TANYA, F
PRINCE ALEXANDER SHTCHERBATSKY, M
PRINCESS SHTCHERBATSKY, F
PRINCESS NATALIA, F
ARSENY LVOV,  M
PRINCESS EKATERINA ALEXANDROVNA SHTCHERBATSKY, F
KONSTANTIN DMITRIEVITCH LEVIN, M
NIKOLAY LEVIN, M
SERGEY IVANOVITCH KOZNISHEV,  M
MARYA NIKOLAEVNA, F
KRITSKY, M
AGAFEA MIHALOVNA, F
VASSILY FEDOROVITCH, M
YEGORUSHKA KORSUNSKY, M
MADAME KORSUNSKY,  F
COUNTESS LIDIA IVANOVNA, F
PRINCESS BETSY TVERSKOY, F
BARONESS SHILTON, F
COUNTESS NORDSTON, F
MLLE. LINON, F
PRINCESS VARVARA, F
MADAME STAHL, F
VARVARA ANDREEVNA,  F
PETROV, M
ANNA PAVLOVNA, F
VASSENKA VESLOVSKY, M
NIKOLAY IVANOVITCH SVIAZHSKY, M
NASTIA,  F
PROFESSOR KATAVASOV, M
PROFESSOR METROV,M
GOLENISHTCHEV, M
MIHAILOV, M
Marya Philimonovna, F
Madame Karenina, F
Madame Sviazhskaya, F
